"YEAR","MFR","MODEL","TYPE","HP","CYLINDERS","TRANSMISSION","NUM_GEARS","DRIVETRAIN","CURBWEIGHT","AXELRATIO","NVRATIO","SIL","THC","CO","CO2","NOx","MPG","AFTERTREATMENT_DEVICE"
2011,"Audi","S6","Car",429,,"Automatic",6,"All Wheel Drive",4750,3.8,35.5,"Not eqipped",0.006,0.39,333,0.005,26.7,
2011,"Audi","R8","Car",525,,"Manual",6,"All Wheel Drive",4000,4.06,43,"Not eqipped",0.0074,0.4,372,0.002,23.9,
2011,"Audi","A3","Car",200,,"Automatic",6,"2-Wheel Drive, Front",3750,4.06,40.7,"Not eqipped",0.011,0.45,232,0.015,38.2,
2011,"Audi","S5","Car",354,,"Manual",6,"All Wheel Drive",4250,3.88,41.2,"Not eqipped",0.0376,0.46,302,0.014,29.3,
2011,"Audi","R8","Car",560,,"Automatic",6,"All Wheel Drive",3750,4.06,43,"Not eqipped",0.054,0.49,349,0.007,25.4,
2011,"Audi","S5","Car",354,,"Automatic",6,"All Wheel Drive",4250,3.52,32.8,"Not eqipped",0.0067,0.5,286,0.006,31,
2011,"Audi","R8","Car",430,8,"Automated Manual",6,"All Wheel Drive",4250,4.57,43.6,"Not eqipped",0.0245,0.55,336,0.007,26.4,"Three-way catalyst"
2011,"Audi","R8","Car",560,,"Manual",6,"All Wheel Drive",3750,4.06,43,"Not eqipped",0.0237,0.58,370,0.005,24,
2011,"Audi","Q7","Truck",272,6,"Automatic",8,"All Wheel Drive",5500,3.7,30.1,"Not eqipped",0.033,0.61,295,0.006,30,"Three-way catalyst"
2011,"Audi","R8","Car",560,,"Automatic",6,"All Wheel Drive",4000,4.06,43,"Not eqipped",0.0564,0.65,348,0.008,25.4,
2011,"Audi","Q7","Truck",333,6,"Automatic",8,"All Wheel Drive",6000,3.7,30.1,"Not eqipped",0.0344,0.7,300,0.007,29.5,"Three-way catalyst"
